,,,,,,,,,,,,,
Organisation Type,Project/Scheme Type,Organisation Name,Scheme/Project Name,Referral method,Address,Post Code,Number of Clients,Contact Details,Opening Time(s),Notes,Website,,
Registered Charity,Food Bank,Trussell Trust,Atherton & Leigh (Wigan) Foodbank,Foodbank Voucher,"Olympic House, Platt Street, Platt Bridge, Wigan",WN2 5DA,,info@athertonleigh.foodbank.org.uk,Tuesday 1 - 3pm,,http://athertonleigh.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Atherton & Leigh (Atherton) Foodbank,Foodbank Voucher,"Atherton Parish Church, St John the Baptist, Market Street, Atherton, Manchester",M46 0DD,,info@athertonleigh.foodbank.org.uk,Wednesdays & Friday 1pm - 3pm,,http://athertonleigh.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Burnage (Burnage Lane) Foodbank,Foodbank Voucher,"St Bernard's Church Hall, Burnage Lane, Burnage, Manchester",M19 1DR,,info@burnage.foodbank.org.uk,Friday 3pm - 5pm,,http://burnage.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Burnage (Kingsway) Foodbank,Foodbank Voucher,"St Nicholas Church 408 Kingsway, Burnage, Manchester",M19 1PL,,info@burnage.foodbank.org.uk,Tuesday 12.30 - 2.30pm,,http://burnage.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Burnage (Parrswood Road) Foodbank,Foodbank Voucher,"Christchurch, Parrswood Road, Didsbury, Manchester",M20 6EE,,info@burnage.foodbank.org.uk,Tuesday 12noon - 2pm,,http://burnage.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Cholton and Didsbury (Hardy Lane) Foodbank,Foodbank Voucher,"St Barnabus, Hurstville Road, off Hardy Lane, Chorlton, Manchester",M21 8DH,,info@chorltondidsbury.foodbank.org.uk,Friday 11am - 1pm,,http://chorltondidsbury.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Cholton and Didsbury (Nell Lane) Foodbank,Foodbank Voucher,"Buckthorn House, Buckthorn Close, Nell Lane, Chorlton, Manchester",M21 7UG,,info@chorltondidsbury.foodbank.org.uk,Monday 11am - 1pm,,http://chorltondidsbury.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Cholton and Didsbury (West Didsbury) Foodbank,Foodbank Voucher,"Christ Church Hall, Darley Avenue, West Didsbury, Manchester",M20 2ZD,,info@chorltondidsbury.foodbank.org.uk,Wednesday 11am - 1pm,,http://chorltondidsbury.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Droylsden & District Foodbank,Foodbank Voucher,"St Mary's Church, Church Street, Droylesden, Manchester",M43 7BR,,info@droylsdendistrict.foodbank.org.uk,Friday 12pm - 2pm,,http://droylsdendistrict.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Fallowfield & Withington (Platt Lane) Foodbank,Foodbank Voucher,"The Place M14, Platt Lane, Fallowfield, Manchester",M14 7FB,,info@fallowfieldwithington.foodbank.org.uk,Wednesday 5 - 6.30pm,,http://fallowfieldwithington.foodbank.org.uk,,
Registered Charity,Food Bank,Trussell Trust,Fallowfield & Withington (Wellington Road) Foodbank,Foodbank Voucher,"Union Chapel, 2b Wellington Road, Fallowfield, Manchester",M14 6EQ,,info@fallowfieldwithington.foodbank.org.uk,Friday 12 - 2pm,,http://fallowfieldwithington.foodbank.org.uk,,
Registered Charity,Food Bank,Trussell Trust,Fallowfield & Withington (Wilbraham Road) Foodbank,Foodbank Voucher,"Holy Innocents, 2 Wilbraham Road, Fallowfield, Manchester",M14 6JZ,,info@fallowfieldwithington.foodbank.org.uk,Saturday 10am - 12 noon,,http://fallowfieldwithington.foodbank.org.uk,, 
Registered Charity,Food Bank,Trussell Trust,Fallowfield & Withington (Palatine Road) Foodbank,Foodbank Voucher,"St Cuthbert's Hall, 3 Palatine Road, Withington, Manchester",M20 3LH,Since opened: fed 636 people including 266 children,info@fallowfieldwithington.foodbank.org.uk,Tuesday 12noon - 2pm,,http://fallowfieldwithington.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Farnworth and Kearsley (Plodder Lane) Foodbank,Foodbank Voucher,"Our Lady of Lourdes Parish Centre, 275 Plodder Lane, Farnworth, Bolton",BL4 0BR,,info@farnworthkearsley.foodbank.org.uk,Monday 12noon - 2pm,,http://farnworthkearsley.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Farnworth and Kearsley (Trafford Street) Foodbank,Foodbank Voucher,"The Well, Trafford Street, Farnworth, Bolton",BL4 7PQ,,info@farnworthkearsley.foodbank.org.uk,Tuesday - Friday 12noon - 2pm,,http://farnworthkearsley.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Farnworth and Kearsley (Little Hulton) Foodbank,Foodbank Voucher,"Wharton & Clegg's Lane Church & Community Centre, Clegg's Lane, Little Hulton, Salford",M38 9RW,,info@farnworthkearsley.foodbank.org.uk,Tuesday 10:30am - 1pm,,http://farnworthkearsley.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Manchester South Central (Hulme) Foodbank,Foodbank Voucher,"Unit 3, Wesley Enterprise Centre, Royce Road, Hulme, Manchester",M15 5BP,,info@manchestersouthcentral.foodbank.org.uk,Saturday 11am - 1pm,"Run by three 3 churches in Whalley Range, Moss Side and Hulme",http://manchestersouthcentral.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Manchester South Central (Whalley Range) Foodbank,Foodbank Voucher,"St Edmund's, Alexandra Road South, Whalley Range, Manchester",M16 8EZ,,info@manchestersouthcentral.foodbank.org.uk,Wednesday 1pm - 3pm,"Run by three 3 churches in Whalley Range, Moss Side and Hulme",http://manchestersouthcentral.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Middleton Central Foodbank,Foodbank Voucher,"Unit S6b/c Middleton Shopping Centre, Limetrees Road, Middleton ",M24 4EL,,info@middletoncentral.foodbank.org.uk,Monday and Thursday 11am - 1pm,,http://middletoncentral.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Oldham (Clegg Street) Foodbank,Foodbank Voucher,"24 Clegg Street, Oldham",OL1 1PL,,andrew@oldham.foodbank.org.uk,"Tues , Wed, Thursday, 11am - 2pm and Friday 11am - 4pm",,http://oldham.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Oldham (Shaw) Foodbank,Foodbank Voucher,"Salvation Army. Shaw, Oldham",OL2 8QY,,andrew@oldham.foodbank.org.uk,Monday 11am - 2pm,,http://oldham.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Oldham (Chadderton) Foodbank,Foodbank Voucher,"South Chadderton Methodist Church, Thompson Lane, Chadderton",OL9 8LX,,andrew@oldham.foodbank.org.uk,Monday 11am - 2pm,,http://oldham.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Rochdale (South Parade) Foodbank,Foodbank Voucher,"8 South Parade, Rochdale",OL16 1LR,,info@rochdale.foodbank.org.uk,Monday - Friday 11am - 12:45pm,,http://rochdale.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Rochdale (Newhey) Foodbank,Foodbank Voucher,"Ogden Baptist Church, Cedar Lane, Newhey, Rochdale",OL16 4LD,,info@rochdale.foodbank.org.uk,Saturday 10am - 12noon,Emergency blue vouchers only,http://rochdale.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Salford Central (Salford Quays) Foodbank,Foodbank Voucher,"The Sanctuary Centre, Dallas Court, Salford Quays",M50 2GF,,info@salfordcentral.foodbank.org.uk,Mondays & Wednesdays 1pm - 3pm,,http://salfordcentral.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Salford Central (Christ Central) Foodbank,Foodbank Voucher,"Mocha Parade Centre, Christ Central, Salford",M7 1QE,,info@salfordcentral.foodbank.org.uk,Tuesdays & Fridays 1pm - 3pm,,http://salfordcentral.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Stockport (Offerton) Foodbank,Foodbank Voucher,"Drop-in centre at GLO Church, Hexham Close, Offerton",SK2 5PR,,foodbank@stockportfoodbank.org.uk,Mon- Thursday 10 - 12noon (term-time only),,http://stockport.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Stockport (Norris Bank) Foodbank,Foodbank Voucher,"St Martin's Church, 112 Crescent Park, Norris Bank, Stockport",SK4 2JE,,foodbank@stockportfoodbank.org.uk,Mon & Thur 1-3pm (except bank holidays),Not open on bank holidays,http://stockport.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Stockport (Reddish) Foodbank,Foodbank Voucher,"Bairstow Centre, Rupert Street, Reddish, Stockport",SK5 6DL,,foodbank@stockportfoodbank.org.uk,Thursdays & Saturdays 10:30am - 12:30pm,Comes under the umbrella of Stockport Foodbank but runs somewhat independently,http://re-dish.org/projects/food-action/,,
Registered Charity,Food Bank,Trussell Trust,Stockport (Redhouse Lane) Foodbank,Foodbank Voucher,"St Mark's Church, Redhouse Lane, Stockport",SK6 1BX,,foodbank@stockportfoodbank.org.uk,Tuesday 12:30pm - 2:30pm,,http://stockport.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Stockport (Bramhall) Foodbank,Foodbank Voucher,"Drop-in centre at Bramhall Community Hub, 84 North Park Road, Bramhall, Stockport",SK7 3HS,,foodbank@stockportfoodbank.org.uk,"Mon & Fri 10am - 2pm, Wed 11am - 3pm",,http://stockport.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Stockport (Hazel Grove) Foodbank,Foodbank Voucher,"Hazel Grove Baptist Church, Station Street, Hazel Grove, Stockport",SK7 4EX,,foodbank@stockportfoodbank.org.uk,"Mon 12:30pm - 2:30pm, Wed 11am - 1pm and Fri 11:30am - 2:30pm",Not open on bank holidays,http://stockport.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Stockport (Cheadle) Foodbank,Foodbank Voucher,"Trinity Church, Massie Street, Cheadle, Stockport",SK8 1DU,,foodbank@stockportfoodbank.org.uk,Friday 10 - 11.30am,,http://stockport.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Stretford Foodbank,Foodbank Voucher,"Trafford Christian Life Centre, 107 Barton Road, Stretford, Manchester",M32 9AF,,info@stretford.foodbank.org.uk,"Tues 11am - 2pm, Fri 11.30am -1.30pm",,http://stretford.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Tameside East (Dukinfield) Foodbank,Foodbank Voucher,"St Johns, Vicarage Drive, Dukinfield",SK16 5HZ,,info@tamesideeast.foodbank.org.uk,Friday 12noon - 2pm and Saturday 10am - 12noon,,http://tamesideeast.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Tameside East (Stalybridge) Foodbank,Foodbank Voucher,"St Matthews, Dean Street, Stalybridge",SK15 2DJ,,info@tamesideeast.foodbank.org.uk,Monday & Tuesday 11am - 1pm,,http://tamesideeast.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Tameside East (Ashton-under-Lyne) Foodbank,Foodbank Voucher,"New Life Church, St James Street, Ashton-under-Lyne",OL6 6SF,,info@tamesideeast.foodbank.org.uk,Thursday 1pm - 3pm,,http://tamesideeast.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Tameside South & Longdendale (Hattersley),Foodbank Voucher,"Hattersley Baptist Church, Melandra Crescent, Hattersley",SK14 3RB,Feeds approx 100 people per month (40 of these are children),info@tamesidesouthlongdendale.foodbank.org.uk,Tues 12noon - 1pm. Fri 2pm - 3pm,,http://tamesidesouthlongdendale.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Tameside South & Longdendale (Hollingworth),Foodbank Voucher,"St Mary's Church, Market Street, Hollingworth",SK14 8NE,Feeds approx 100 people per month (40 of these are children),info@tamesidesouthlongdendale.foodbank.org.uk,Mon 11am - 12noon ,,http://tamesidesouthlongdendale.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Trafford South (Altrincham) Foodbank,Foodbank Voucher,"St Albans Church Hall, Lindsell Road, Altrincham",WA14 5NX,,info@traffordsouth.foodbank.org.uk,Wednesday 10:30am - 12:30pm,,http://traffordsouth.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Trafford South (Partington) Foodbank,Foodbank Voucher,"The Fuse ROC Centre, Warburton Lane, Partington, Manchester",M31 4BU,,info@traffordsouth.foodbank.org.uk,Thursday 10:30am - 12:30pm,,http://traffordsouth.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Trafford South (Sale Moor) Foodbank,Foodbank Voucher,"St Francis Church, Budworth Road, Sale Moor, Manchester",M33 2RP,,info@traffordsouth.foodbank.org.uk,Monday 12noon - 2pm,,http://traffordsouth.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Trafford South (Sale) Foodbank,Foodbank Voucher,"Sale West Credit Unit Rooms, Newbury Avenue, Sale, Manchester",M33 4QW,,info@traffordsouth.foodbank.org.uk,Tuesday 11am - 1pm,,http://traffordsouth.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Trafford South (Timperley) Foodbank,Foodbank Voucher,"Timperley Methodist Church, Stockport Road, Timperley",WA15 7UG,,info@traffordsouth.foodbank.org.uk,Friday 10am - 12noon,,http://traffordsouth.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Wythenshawe (Brookcot Road) Foodbank,Foodbank Voucher,"Royal Oak Community Centre, Brookcot Road, Baguley, Wythenshawe, Manchester",M23 1DU,,info@wythenshawe.foodbank.org.uk,Mon - Thu 10am - 3pm,,http://wythenshawe.foodbank.org.uk,,
Registered Charity,Food Bank,Trussell Trust,Wythenshawe (Brownley Road) Foodbank,Foodbank Voucher,"Food for Thought, St Luke's Church, Brownley Road, Benchill, Wythenshawe, Manchester",M22 4PT,,info@wythenshawe.foodbank.org.uk,Fri 4.30 - 5.30pm Sat 10 - 11am,,http://wythenshawe.foodbank.org.uk,,
Registered Charity,Food Bank,Trussell Trust,Wythenshawe (Greenbrow Road) Foodbank,Foodbank Voucher,"Tree of Life, Greenbrow Road, Newall Green, Wythenshawe, Manchester",M23 2UE,,info@wythenshawe.foodbank.org.uk,"Mon, Tues, Thu 11am - 2.30pm",,http://wythenshawe.foodbank.org.uk,,
Registered Charity,Food Bank,Trussell Trust,Wythenshawe (Oatlands Road) Foodbank,Foodbank Voucher,"Dandelion Community Centre, Oatlands Road, Wythenshawe, Manchester",M22 1AH,,info@wythenshawe.foodbank.org.uk,Wed 11am - 2pm,,http://wythenshawe.foodbank.org.uk,,
Registered Charity,Food Bank,Trussell Trust,Wythenshawe (Wythenshawe Road) Foodbank,Foodbank Voucher,"C-Saw, St Aidens' Centre, Wythenshawe Road, Wythenshawe, Manchester",M23 9DE,,info@wythenshawe.foodbank.org.uk,Wed 12 - 3pm,,http://wythenshawe.foodbank.org.uk,,
Registered Charity,Homeless Centre,The Wellspring,Food Services,Not known,"Harvey Street, Stockport",SK1 1YD,,thewellspring@btconnect.com,Monday - Thursday 11:30am - 2pm and Monday - Thursday 5pm - 8pm,,http://www.thewellspring.btck.co.uk/,,
Registered Charity,Food Distribution,"The River, Manchester",Food Bank,Referral or assessment,"1300 Ashton Old Road, Openshaw, Manchester",M11 1JG,,info@therivermanchester.org,Monday - Friday 12noon - 3pm,Other support services available,http://www.therivermanchester.org.uk/home/4586239028,,
Registered Charity,Food Distribution,The Oasis Centre,Emergency Provision,Open door,"Collier House, Wellington Street, Gorton, Manchester",M18 8TX,60+ people per week,info@theoasiscentre.org.uk,Monday - Wednesdays 10am -2pm,"Emergency Food Packs offered. Free café serving breakfast and lunch on Mondays, Tuesdays and Wednesdays.Other support services available.",http://theoasiscentre.org.uk/,,
Church,Food Bank,The Metropolitan Church of Manchester,,At their discretion,"Wilbraham St Ninian's URC, Egerton Road South, Chorlton, Manchester",M21 0XJ,,contact@metropolitanchurch.org.uk,After services or when visiting,,http://metropolitanchurch.org.uk/,,
,Pantry Club,The Globe: Old Trafford Pantry,,Not known,79 Cornbrook Street  Old Trafford  Manchester ,M16 7QB,,urchoice1@outlook.com,Friday 2 - 4.30pm,,https://118aglobe.wordpress.com/,,
Registered Charity,Support for young asylum seekers,The Children's Society,Hope Young Refugee Service,,"Zion Community Resource Centre, 339 Stretford Road, Hulme, Manchester",M15 4ZY,,0161 868 0382,Not known,"For young asylum seekers, aged 11-19",http://www.zioncentre.co.uk/,,
Registered Charity,Food Bank,The Chatterbox Project & Joy Community Church,Food Bank,Proof  of benefits required,"70 Booth Hall Road, Charlestown, Blackley, Manchester",M9 7BL,,info@chatterboxproject.org.uk,Mondays 1:30pm - 2:30pm + Bread Tues - Fri 2.30 - 3pm Local school term time only,Also provides other support services such as money managements and after school hours children's club,http://chatterboxproject.org.uk/helping-hands/,,
,Meals and food parcels,The Bridge at Leigh ,,Not known,The Old Methodist School 87 King St LEIGH ,WN7 4LJ,,dwhughes604@virginmedia.com,Open Mon - Sat 10.00 - 4.00 We are a community cafe utilising surplus food on a pay as you feel basis plus also a surplus food market on similar lines. If you cannot afford to pay it is free. If you cannot get to a referral agency for a foodbank voucher we can supply food for that crisis event. ,,,,
Charity,Food Bank,The Brick Food Bank,,Referral,"10 Arcade Street, Wigan",WN1 1LU,,enquiries@thebrick.org.uk,Appointment,Unlimited parcels but need a referral for each 3 day pack,http://thebrick.org.uk/ ,,
Community Organisation,Food Distribution,The Bideford Community Centre,,Referral,"Bideford Drive, Bideford Estate, Altrincham Road, Wythenshawe, Manchester",M23 0QN,,ericsmith5892@hotmail.com,Tuesday and Thursday 10am - 2pm,"Food Parels available to residents of Baguley, by referral only.",http://wythenshawe.foodbank.org.uk,,
Registered Charity,Food Distribution,St Margaret's Centre,The Bread Project/Forever Kitchen,Not known,"Brantingham Road, Whalley Range, Manchester",M21 0TT,,info@st-margarets-centre.co.uk,Not known,Looking to expand project to address larger issue of Food Poverty,http://www.st-margarets-centre.co.uk/what-we-do/projects/,,
,Food Bank,St Cross Church,,"St Cross Voucher OM PA Assessment sheet
","The Rectory, 54 Clayton Hall Road, Clayton ",M11 4WH,,0161 223 0766,Thursday AM,Tinned food and dried goods,Not known,,
Church,Drop In Centre,St Aiden & Oswald RC Church,The Welcome Centre,Not known,"Vaughan Street, Royton, Oldham",OL2 5DL,,Not known,Daily (except Tues & Sat) 10:30am - 12pm,,http://streetskitchen.co.uk/?page_id=1072,,
,Food Bank,Shout TMO,,Proof of low income & financial difficulties,"50 Kilnside Drive, Harpurhey, Manchester",M9 5QP,,0161 202 6482,Thur 1-3pm,,http://www.shouttmo.co.uk/,,
SureStart Centre,Food Distribution,Sharston Sure Start Children's Centre ,Barnado's,Referral/first come first served,"Pundswick Children's Centre, Poundswick Lane, Sharston, Manchester",M22 9TA,,sharston.sscc@manchester.gov.uk,Not known,"Limited amount of food parcels given on a first come, first served basis. Parcels available for referred families/those known to the centre.",https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=1RYFhjYFnHY&directorychannel=1-2-4,,
Salvation Army,Food Distribution,Salvation Army Shaw,Café,Not known,"Farrow Street, Shaw, Oldham",OL2 8QY,,shaw@salvationarmy.org.uk,Wednesday & Thursday 10am - 2pm,,http://www.salvationarmy.org.uk/Shaw,,
Salvation Army,Food Distribution,Salvation Army Rochdale, ,Not known,"Newgate, Rochdale",OL16 1AW,rochdale@salvationarmy.org.uk,rochdale@salvationarmy.org.uk, ,,http://www.salvationarmy.org.uk/rochdale,,
Salvation Army,Food Distribution,Salvation Army Openshaw,Food Bank,Referral,"1319 Ashton Old Road, Openshaw",M11 1JS,,openshaw@salvationarmy.org.uk,Mon - Fri 10 - 4.30, ,http://www.salvationarmy.org.uk/Openshaw,,
Salvation Army,Food Distribution,Salvation Army Oldham Roundthorn,Not known,Not known,"203 Roundthorn Road,",OL4 5LD,,oldham.roundthorn@salvationarmy.org.uk,,,http://www.salvationarmy.org.uk/oldham-roundthorn,,
Salvation Army,Food Distribution,Salvation Army Oldham Citadel, ,Not known,"York Street, Oldham",OL9 6ET,,oldham.citadel@salvationarmy.org.uk,, ,http://www.salvationarmy.org.uk/oldham-citadel,,
Salvation Army,Food Distribution,Salvation Army Manchester City Centre, ,Not known,"71 Grosvenor Street, Manchester",M13 9UB,centralnorth@salvationarmy.org.uk,centralnorth@salvationarmy.org.uk, ,,http://www.salvationarmy.org.uk/manchester-central,,
Salvation Army,Food Distribution,Salvation Army Fitton Hill,Café Eden 18+,Not known,"1 Fir Tree Lane Precint, Oldham",OL8 2QP,,chris.neilson@salvationarmy.org.uk,Monday 3pm - 5pm,,http://www.salvationarmy.org.uk/Fitton-Hill,,
Salvation Army,Food Distribution,Salvation Army Farnworth, ,Not known,"54 - 56 Brackley Street, Farnworth, Bolton",BL4 9DR,farnworth@salvationarmy.org.uk,farnworth@salvationarmy.org.uk, ,,http://www.salvationarmy.org.uk/farnworth,,
Salvation Army,Food Distribution,Salvation Army Failsworth,Meet-In Café,Not known,"572 Oldham Road, Failsworth, Manchester",M35 9DQ,,failsworth@salvationarmy.org.uk,Monday 1:30pm - 2:30pm,,http://www.salvationarmy.org.uk/failsworth,,
Salvation Army,Food Distribution,Salvation Army Eccles,Fruit & Veg Club,Not known,"Church Street, Eccles, Salford",M30 0LU,,raymond.ward@salvationarmy.org.uk,Thursday 1:45 - 2:45pm,,http://www.salvationarmy.org.uk/Eccles,,
Salvation Army,Food Distribution,Salvation Army Atherton,The Good Grub Club,Not known,"George Street, Atherton, Manchester",M46 0EL,,mark.cotterill@salvationarmy.org.uk,Monday 12:30pm - 2pm,,http://www.salvationarmy.org.uk/Atherton,,
Registered Charity,Asylum Service,Revive187,Drop In,Open door,"St Brigid's Parish Hall, Greymare Lane, Beswick, Manchester",M11 3ND,,info@revive-uk.org,Tuesday 11:30am - 4pm,Food Parcels available to any person in need,http://www.revive-uk.org/,,
Church,Food Bank,Restore Food Bank Arise & Shine Christian Ministries,,Proof of benefits,"582 Hyde Road Gorton, Manchester,",M18 7EE,,O7872611770,Tuesday 3 - 5pm,Agency referrals accepted,https://www.facebook.com/AriseShineChristianMinistries/,,
Community Group,Food Bank plus,Reach out to the Community,,Rough sleepers and local families,"Elliotts Fruit & Veg, Chorlton Precinct, Wilbraham Road, Chorlton",M21 9AQ,,reachoutcommunity@yahoo.com 07516161655,Monday - Saturday 7.30am - 4.30pm,,Not known,,
Registered Charity,Asylum Service,Rainbow Haven (Gorton),With British Red Cross,Referral or self-refer,"St Paul & St John, 113 Abbey Hey Lane, Gorton, Manchester",M18 8TJ,,finance.rainbowhaven@yahoo.co.uk,Tuesday & Thursday 10am - 2pm ,"To support refugees, asylum seekers & other migrants. Must phone in advance",http://www.rainbowhaven.org.uk,,
Registered Charity,Hot meals between 12noon and 1pm.,Rainbow Haven (Salford),,,"The Emmanuel Centre, 174 Langworthy Road, Salford",M6 5PN,,finance.rainbowhaven@yahoo.co.uk,Wednesday 10am - 3pm,,http://www.rainbowhaven.org.uk,,
Church,Food Bank,Rainbow Christian Centre,Food & Family support services,Proof of circumstances,"29 Bronte Street, Hulme, Manchester",M15 6QL,,0161 865 2488,Friday from 6pm,"Food parcel for local residents on low income, benefits or benefit sanction.  Clients must provide proof of address & circumstances.  Family support services are also available.",http://opencharities.org/charities/1043339,,
Registered Charity,Food Distribution,Porch Boxes,,Referral,"14 Kenmor Avenue, Bury",BL8 2DY,Approx 400 boxes given per month. Recipients are located throughout Bury and Rochdale,0161 761 5908 / 0161 764 1132 /0161 724 5696 lesandkathleen@btinternet.com,Not known,400 food parcels a month to residents in Bury & Rochdale from a Radcliffe base,http://www.porchboxes.org.uk/,,
,Food Bank,Petrus Day Centre, ,Assessment,"73 Great George Street, Rochdale",OL16 1QG,9 - 4 weekdays except Wed 9 - 2,01706 526289,9 - 4 weekdays except Wed 9 - 2,,http://www.petrus.org.uk/,,
Housing Assoc,Pantry Club,Penny Lane Pantry,Stockport Homes (Penny Lane),Become a member – See notes for more information,"Hanover Towers, Lancashire Hill, Penny Lane, Stockport SK5 7RJ",SK5 7RJ,,pantry@stockporthomes.org 0161 474 4760,Tuesday 3.3-pm - 5.30pm Wednesday 10am - 12 noon,Find out how to become a member here: <a href=”http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/”>http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/</a>,http://www.yourlocalpantry.co.uk/,,
Housing Assoc,Pantry Club,Pantry at No 5,Stockport Homes (Bridgehall),Become a member – See notes for more information,"5 Cuddington Crescent, Bridgehall, Stockpor",SK3 8LX,,pantry@stockporthomes.org 0161 474 4760,Thursday 3.30pm - 5.30pm Friday 10a - 12 noon,Find out how to become a member here: <a href=”http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/”>http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/</a>,http://www.yourlocalpantry.co.uk/,,
